Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
	Jacques d'Édesse	Hexaméron					Édition (réproduction d'un manuscrit de Leiden) : J.-B. CHABOT, Iacobi Edesseni Hexaemeron, seu in opus creationis libri septem (CSCO 92, Syr. 44), Paris, 1928. Trad. latine : A. VASCHALDE, Iacobi Edesseni Hexaemeron, seu in opus creationis libri septem (CSCO 97, Syr. 48), Louvain, 1932.	240
Litt./Philo.	Jacques d'Édesse	Traduction des Catégories d'Aristote						Firezne BML Or. 209
	Jacques le diacre	Histoire de Pélagie la pénitente  					Éd. AMS VI, p. 616-649 ; trad. GUILLAUMONT, "La version syriaque", 1981, p. 287-315 ; BHO 919. 	Damas 12/18
	Jacques Mirijan de 'Urdnus	Memra sur l'alphabet						Paris BnF syr. 377, 5
	Jean bar Ma‘dani	Discours sur l'âme qui est appelée oiseau					BAUMSTARK, §. 49i, p. 307-308 ; GEDSH, p. 444.	Paris BnF syr. 371, F
Litur.	Jean bar Ma'dani	Anaphore						74, 12
Litt.	Jean bar Ma'dani	Poèmes						Firenze BML Or. 298
	Jean bar Penkaye	Livre des principaux événements de l'histoire du monde temporel 						405-406 ; Strasbourg syr. 4133
Litur.	Jean bar Šušan	Anaphore						75, 13 ; 78, 11
Comm. / Litur. 	Jean bar Šušan	Commentaire sur le pain eucharistique 						83, 3 (extrait) ; 111, 17
	Jean bar Zo'bi	Énigme sur le nom et le verbe						Paris BnF syr. 426
	Jean bar Zo'bi	Explication sur la ponctuation (en vers) 						Paris BnF syr. 426
	Jean bar Zo'bi	Grammaire syriaque						Paris BnF syr. 426
	Jean bar Zo'bi	Memra sur la distinction entre la nature et l'hypostase, la personne et la figure						Paris BnF syr. 426
	Jean bar Zo'bi	Memra sur la grammaire (ou Petite grammaire)						Paris BnF syr. 426
	Jean bar Zo'bi	Memra sur l'explication des mystères					Éd. / Trad. MANNOORAMPARAMPIL, Explanation, 1992. Cf. WEBB, Le Muséon 88, 1975, p. 315-317 pour le texte et la traduction de quelques extraits tirés de ce manuscrit (Paris BnF syr. 352) 	Paris BnF syr. 352
	Jean bar Zo'bi	Sur les conjonctions						Paris BnF syr. 426
	Jean Chrysostome	Homélie à Demetrius sur la componction du cœur						Firenze BML Or. 099 (garshuni)
	Jean Chrysostome	Homélie sur la dévotion, la confession et la correction						194, 1
Hom.	Jean Chrysostome	Homélie sur la femme pécheresse 		De peccatrice			Pour le garshuni : CPG 5190/15 ; GCAL I, p. 346	192, c ; 193, v ; 232, 10 (garshuni)
	Jean Chrysostome	Homélie sur la pénitence, la mort et le péché					Cf. GCAL I, p. 351	194
Hom. 	Jean Chrysostome	Homélie sur le Jeudi Saint et le lavement des pieds		Sermo in feriam quintam magnam			CPG 5185/2 ; cf. GCAL I, p. 346-347	193, aa ; 233, 4 (cf. Sauget,Homéliaire arabe de l'Ambrosienne, n° 52)
	Jean Chrysostome	Homélie sur l'eucharistie					Cf. GCAL I, p. 350.	194, 1
Hom.	Jean Chrysostome	Homélies						15
	Jean Chrysostome 	Anaphore 					CPG 4686	76, 5
Comm. / NT 	Jean Chrysostome 	Commentaire sur l'épître aux Ephésiens 		In epistulam ad Ephesios argumentum et homiliae 1-24			CPG 4431	69
Hom. 	Jean Chrysostome 	Homélie sur la pénitence 					Cf. CPG 4631 ; cf. GCAL I, p. 351. 	192, 1 ; 193, 6
	Jean Chrysostome 	Homélie sur la pénitence 					cf. GCAL I, p. 351. (no n° CPG)	192, 3 ; 193, 7
	Jean Chrysostome 	Homélie sur la pénitence 					Cf. CPG 4631	192, 8 ; 193, a
	Jean Chrysostome	Homélie sur la pénitence						Firenze BML Or. 099 (garshuni)
Hom. 	Jean Chrysostome 	Homélie sur la prière 					Cf. GCAL I, p. 351.	192, 7
Hom. 	Jean Chrysostome 	Homélie sur la Samaritaine 		De Samaritana			CPG 5190/8 ; GCAL I, p. 344.	193, s (karsh.) ; 192, e
Hom. 	Jean Chrysostome 	Homélie sur le dimanche des Rameaux 		In ramos			CPG 5190/9 ; GCAL I, p. 345	193, z ; 233, 5 (karsh.) 
Hom. 	Jean Chrysostome 	Homélie sur le fils prodigue 		De filio prodigo			CPG 5190/4	193, q (karsh.)
Hom. 	Jean Chrysostome 	Homélie sur le jeûne 		De ieiunio sancto			CPG 5190/1 ; GCAL I, p. 343.	193, n ; 223, 3
Hom. 	Jean Chrysostome 	Homélie sur le pharisien et le publicain (pour le 4e Vendredi du Carême)		De pharisaeo et publicano			CPG 5190/5 ; GCAL I, 343	193, r (karsh.)
Hom. 	Jean Chrysostome 	Homélie sur le bon Samaritain 	Homélie sur l'homme qui allait de Jérusalem à Jéricho				GCAL I, 344	192, f ; 193, t (cf. Sauget,Homéliaire arabe de l'Ambrosienne, n° 35
Litur.	Jean de Baṣra	Anaphore						76, 14
Théol. / Asc. 	Jean de Carpathos 	Chapitres ascétiques aux moines de l'Inde 		Capita hortatoria ad monachos in India 			CPG 7855 	204, 2 ; 398
Asc. 	Jean de Dalyatha	Lettres 						202, 2 (48 lettres) en carchouni
Asc. 	Jean de Dalyatha	Memre						202, 1 (29 homélies) en carchouni
Litur.	Jean de Ḥarran	Anaphore						81, 2
Canon. 	Jean de Tella	Canons					Éd. / Trad. NAU 1909.	62, 50 et 51
Canon. 	Jean d'Égypte	Lettre aux archimandrites d'Orient		Epistula ad archimandritas Orientis			Trad. NAU, ROC 14, 1909, p. 48-49. CPG 7200.	62, 36
	Jean d'Éphèse	Histoire de Jean le Nazirite					Éd. / Trad. BROOKS, PO 17, p. 36-55 ; BHO 517. 	Damas ; Add. 12174
	Jean d'Éphèse 	Histoire de Suzanne  					Éd. / Trad. BROOKS, PO 18, 1924, p. 541-558 ; BHO 1109. 	Damas 12/18
	Jean d'Éphèse (Attribué à)	Histoire de Jacques Baradée					Éd. / Trad. : BROOKS, PO 19, p. 229-268 ; SS 222 († 578) ; BHO 392 , Éd. PO 19, p. 574-614)	235, 33 ; Damas 12/18
	Jean Hesronita	Poèmes adressés à Serge						243
Gramm. 	Jean l'Évèque	Canon de grammaire						Firenze BML Or. 100
Théol. / Comm. / AT	Jean le moine  	Commentaire de l'Ecclésiaste 						206, 15 
	Jean le moine (?)	Discours 				ܙܕܩ ܠܕܝܪܝܐ ܕܢܗܘܐ ܚܦܝܛ ܘܐܡܝܢ ܘܝܗܒ ܢܦܫܗ ܠܟܠ ܕܩܪܒܐ ܕܐܬܐ ܥܠܘܗܝ		195 ; 201, 10 ; 206, 15 ? 
Litur. 	Jean le Petit	Prières						16
Théol. 	Jean le Stylite 	Traité christologique sous forme de questions-réponses 						203, 7
Théol. 	Jean Maron 	Symbole de la foi 						203, 1 
Théol. 	Jean Maron 	Traité contre les monophysites						203, 2 
Théol. 	Jean Maron 	Traité contre les nestoriens						203, 3
	Jean, disciple de Barṣawma	Hymne sur la présentation de Notre-Seigneur au Temple						196, 13 à la fin  
Gramm. 	Jirjis Amira	Grammaire de la langue syriaque				ܓܪܰܐܡܰܐܛܝܻܩܝܻ ܣܘܽܪܝܵܝܵܬ		Firenze BML Or. 419
Mod. ? / Théol. 	Jirjis de Rome 	Le Livre des avertissements 	Traité de théologie morale par questions-réponses 					218
	Joseph (évêque)	Hymne funéraire sur Mar Elia III catholicos						Paris BnF syr. 371, G
	Joseph (évêque)	Poèmes						Paris BnF syr. 371, D
Litur.	Jules de Rome	Anaphore						78, 17
	Justinien de Tours (Michel Febure)	Objections contre les opposants de la religion catholique						219
Litur. 	Kamis bar Qardaḥe	Hymnes 						181, 1/s, x
Gram.	Kamis bar Qardaḥe	Memra sur l'histoire des lettres de l'alphabet					BAUMSTARK, §. 52a, p. 321-322.	Paris BnF syr. 369, 2
	Lazare bar Sabta	Anaphore						77, 5
Hagio. 	Léonce de Néapolis	Histoire de Jean l'Aumônier 		Vita Iohannis Eleemosynarii	ܝܘܚܢܢ ܡܪܚܡܢܐ		Éd. AMS IV, p. 303-395 (d'après Paris BnF syr. 235 et BL Add. 14645) ; BHO 511 ; SS 239 ; CPG 7882	234, 11 ; 235, 31
	Léonce de Néapolis	Histoire de Siméon le fou					CPG 7883	Damas ; Add. 12174
Hagio. 	Macaire  d'Alexandrie (attribué à)	Vision de Macaire sur le sort de l'âme après la mort	Apocalypse de Macaire l'Alexandrin sur la sortie de l'âme du corps	Visio Macarii de sorte animarum	ܡܩܪܝܣ		Éd. / Trad. LANTSCHOOT, "Révélation de Macaire ", 1950, p. 159-189 ; CPG 2400 ; SS 279.	234, 2 ; 434, II
Litur.	Macaire d'Alexandrie	Prières de Macaire 						13, 21-22 ; 177, 1
	Martyrius (Sahdona)	Cinq lettres à ses amis moines					Éd. / Trad DE HALLEUX 1965b, CSCO 254 / Syr. 112, p. 1-87 (texte) ; CSCO 255 / Syr. 113, p. 1-81 (trad.).	Strasbourg syr. 4116
	Martyrius (Sahdona)	Livre de la perfection					Éd. / Trad. DE HALLEUX 1960, 1961 et 1965a.	Strasbourg syr. 4116
	Martyrius (Sahdona) 	Maximes sapientiales					Éd. / Trad DE HALLEUX 1965b, CSCO 254 / Syr. 112, p. 88-93 (texte) ; CSCO 255 / Syr. 113, p. 82-85 (trad.).	Strasbourg syr. 4116
Litur.	Maruta de Tagrit	Anaphore 						73, 10 ; 76, 13
	Maruta de Tagrit	Second sermon sur les mêmes martyrs					Éd. AMS, 1891, vol. 2, p. 123-28 ; BHO 706.a ; SS 304.  	Vat. sir. 161
	Maruta de Tagrit	Sermon sur les martyrs orientaux					Éd. AMS, 1891, vol. 2, p. 57-122 ; BHO 706.a ; SS 304.	Vat. sir. 161
Hom. 	Mas'ud du Ṭur 'Abdin	Memra sur la pénitence				ܐܘ ܚܜܝܐ ܬܐܨܝܕ ܢܦܫܟ ܒܬܝܒܘܬܐ 		16
	Michel d'Amid	Profession de foi						Paris BnF syr. 371, E
Théol. 	Michel II de Mélitène 	Dissertation sur la nativité de Notre-Seigneur 						206, 5
Théol. 	Michel II de Mélitène 	Dissertation sur la présentation de Notre-Seigneur au temple						206, 6
Théol. 	Michel II de Mélitène 	Dissertation sur l'annonciation à la Vierge						206, 4 (cette pièce et celles qui suivent appartiennent à l'ouvrage : "Dissertations sur les principales fêtes de l'église")  
Théol. 	Michel II de Mélitène 	Dissertation sur le carême 						206, 7
Théol. 	Michel II de Mélitène 	Dissertation sur le jeudi saint 						206, 8
Théol. 	Michel II de Mélitène 	Dissertation sur le lavement des pieds 						206, 9
Théol. 	Michel II de Mélitène 	Dissertation sur le nom de l'Eglise 						209, 1/a 
Théol. 	Michel II de Mélitène 	Dissertation sur le vendredi de la crucifixion  						206, 10 
	Michel II de Mélitène 	Dissertations sur les principales fêtes de l'Église						207 et 209 (cf. mss pour les titres des dissertations)
Litur.	Michel le Syrien 	Anaphore						76, 20
	Michel, disciple d'Awgin	Histoire d'Eugène (Awgin) 					Éd. AMS III, 376-480 (d'après Add. 12174) ; BHO 120-122 ; SS 60. 	Damas ; Add. 12174
Litt. / Théol. 	Mirdjan le prêtre	Hymnes en l'honneur de Jésus-Christ 						200, 5/f
Litt. / Théol. 	Mirdjan le prêtre	Hymnes en l'honneur de la Vierge						200, 5/e
Hagio.	Mirza de Midun	Memra sur un miracle accompli par Gabriel de Qartmin (dans le mètre de Jacques de Saroug)				ܒܐ ܕܩܘܫܬܐ ܗܒ ܠܝ ܗܘܢܐ ܘܢܗܝܪܘܬܐ ܒܪܐ ܫܪܝܪܐ ܗܒܠܝ ܡܕܥܐ ܘܟܠ ܚܟܡܬܐ ܟܠ ܝܕܥܬܐ ܘܣܟܘܠܬܢܘ܅ ܕܩܘܕ܅ ܪܘܚܐ ܕܐܩܠܣ ܠܗ ܠܡܪܝ ܒܪܐܝܠ ܒܦܨܚܝܘ܅ ܀		Paris BnF syr. 375, 5
Litur. 	Moïse bar Kepha 	Anaphore 						76, 3
Théol. / AT / Comm.  	Moïse bar Kepha 	Commentaire de l'AT						206, 1-2 
Théol. / NT / Comm. 	Moïse bar Kepha 	Commentaire du NT						206, 3
Théol. / Comme. 	Moïse bar Kepha 	Hexaméron					Trad. SCHLIMME L., Der Hexaemeronkommentar des Moses bar Kepha: Einleitung, Übersetzung und Untersuchungen (Göttinger Orientforschungen, I. Reihe: Syriaca, 14), Wiesbaden, Otto Harrassowitz, 1977. 	206, 3/dd ; Paris 319
Théol. / Comme. 	Moïse bar Kepha 	Traité sur les sacrements 						206, 3/ee = discours sur le saint chrème ; ff. Sur l'ordination des évâques ; gg. Sur l'ordination episcopale ; hh. Sur la tonsure des moines  
	Moïse bar Kepha 	Discours sur différents sujets théologiques, les principales fêtes, les leçons ecclésiastiques						206-207 (cf. mss pour les titres des différentes dissertations)
	Narsaï	Memra sur les trois docteurs Diodore, Théodore et Nestorius					Éd. / Trad. MARTIN, JA sér. 9, 14, 1899, p. 446-492 ; Cf. Brock 1987, 262. 	Strasbourg syr. 4139
	Nazif Khazin	Lettres						334
Litur.	Nestorius	Anaphore 	Liturgie de Nestorius					Paris BnF syr. 95 ; 310.
	Nestorius	Livre d'Héraclide de Damas					Éd. BEDJAN 1910, trad. NAU 1910 ; CPG 5751	Strasbourg syr. 4119
	Nestorius	Trois chapitres contre les monophysites					CPG 5754 (?)	Strasbourg syr. 4137
	Nil d'Ancyre	Discours 				ܐܡܝܢܐܝܬ ܗܘܬ ܝܨܦ ܕܡܢ ܕܘܒܖ̈ܝܗܘܢ ܕܩܕܝܫܐ̈ ܬܐܬܪ	CPG ?	195, 9c
?	Noé de Baqupha 	Lettres						180, 7
	Pachas de Gagim	Memra sur la fête de la mort de la Vierge						Paris BnF syr. 377, 4
	Peṭros bar Tawma Katula	Memra adressé à Ya'qub Abraham de Bombay						Paris BnF syr. 419
	Philothée	Histoire de l'image de Jésus-Christ que les Juifs firent à Tibériade					Éd. / Trad. BUDGE, The History of the Blessed Mary, 1899, p. 157-246 (texte) et vol. V, p. 171-246 (trad.) ; BHO 450. 	234, 21 , 236,13 ; Damas ; Add. 12174
Litur. 	Philoxène de Mabboug	Prières						16, 11 (fragments) ;16, 18 ; 111, 3
Théo. 	Philoxène de Mabboug	Profession de foi						112, 49 (=fragment du Memra II parénétique) ; 165
Théo. 	Philoxène de Mabboug	Traité sur la nature du Christ 						112, 47
Litur. 	Philoxène de Mabboug 	Anaphore						71, 6 ; 73, 9 ; 76, 8
	Philoxène de Mabboug 	Hymnes ? 						195, à la fin (b)
Canon. 	Philoxène de Mabboug 	Lettre aux moines d'Amid 					Trad. NAU, ROC 14, 1909, p. 37-38.	62, 28 (extraits à valeur canonique) 
Litt. / Théol. 	Philoxène de Mabboug 	Memre parénétiques 						201, 1
Théo. 	Philoxène de Mabboug (attribué à)	Traité sur les hérésies						112, 48
Canon. 	Pierre d'Alexandrie 	Lettre canonique		Epistula canonica 			CPG 1639	
Philo.	Porphyre de Tyr	Isagogè			ܐܝܣܐܓܘܓܝ			Firenze BML Or. 174
Apoc. 	Prochore	Actes de Jean 		Acta seu peregrinationes Iohannis auctore Prochoro			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 31-46 (texte), p. 37-53 (trad.) ; CANT 218 ; BHO 469.	232, 7/i (garshuni)
Litur.	Proclus de Constantinople 	Anaphore 						75, 9 ; 78, 14 (non attesté dans la CPG) 
Hagio. 	Pseudo-Denys l'Aréopagite	Lettre à Timothée sur le martyre de Pierre et Paul		Epistula Ps.-Dionysii Areopagitae ad Timotheum de passione Petri et Pauli 			Éd. / Trad. PITRA (†)-MARTIN, Analecta sacra IV, 1883, p. 241-249 (texte à partir de Paris syr. 234-235), p. 261-271 (trad. latine) ; CANT 197 ; BHO 968 ; CPG 6631 ; Pour le garshuni : Éd. / Trad. SCOTT WATSON, "An Arabic Version", 1899-1900, p. 225-241 ; cf. GCAL I, p. 270 ; CANT 197 ; BHO 969 ; CPG 6631. 	234, 13 ; 235, 8 ; Damas ; 398 (en garshuni) ; 378 UC F.
	Pseudo-Nonnos	Scolies au Discours 4 contre Julien de Grégoire de Nazianze					Éd. BROCK, 1992 ; BROCK, 1971 et NAU ROC 1929-1930, p. 415-421 ; CPG 3011.	Paris BnF syr. 378, UC E
Canon. 	Rabbula	Canons 					Éd. OVERBECK 1865, p. 210-221 ; trad. NAU 1909.	cf. Overbeck (même texte à peu près)
Litur.	Rabbula	Hymnes du Magnificat 						145, 3
Litur.	Rabbula	Supplications	Hymnes de supplication		ܬܟܫ̈ܦܬܐ			145, 4
Philo.	Raymond Lulle	Ars brevis						Firenze BML Or. 142
	Robert Bellarmin	Doctrine chrétienne						221, 222
Hist. 	Sa'id ibn Baṭriq  	Le collier de perles 	Chronique 				GCAL II, 32-38 	230 et 231 (karsh.) 
	Ṣaliba bar Dawid	Onita sur Mart Šmuni et ses fils						Strasbourg syr. 4121
Apoc. 	Salomon (roi) (attribué à)	Testament de Salomon à son fils Roboam 		Testamentum Salomonis ad Roboam filium suum 			CAVT 162 ; GCAL I, 209, II, 487 	194, 23 (karsh.) 
	Salomon de Baṣra	Le Livre de l'abeille			ܟܬܒܐ ܕܠܘ̈ܩܛܐ ܕܡܬܩܪܐ ܕܕܒܘܪܝܬܐ		Éd. / Trad. BUDGE, The Book of the Bee, 1886 (manuscrits de base : LONDON, RAS, BL add. 25875, Munchen,BSB, Oxford, Bodleian).	RAS syr. 1 , Trichur ; 232/1 garshuni ; Paris BnF syr. 339 et 368.
	Samuel, disciple de Barṣawmo (Attribué à)	Histoire de Barṣawmo  					Éd. / Trad. NAU, "Résumé", 1913, p. 272-276 ; 1914, p. 113-134 et 278-289 ; SS 79. 	Damas ; Add. 12174
	Sargis bar Waḥle	Homélie sur Rabban Hormizd					Éd. / trad. BUDGE, "The metrical homily on the life of Rabban Hormizd", 1902  ; BHO 384 ; GEDSH, p. 359.	Paris BnF syr. 371, A
	Sargis d'Amphiator	Canons						62
	Šem'un, disciple de Rabban Yozadaq	Histoire de Hormizd le Persan					Éd. / Trad. BUDGE, 1902, vol. 1 , p.1-109 (texte) et vol. 2, 1, p.1-160 (traduction) ; GEDSH, 2011, p. 203-204.	Paris BnF syr. 415
	Sérapion de Thmuis (Attribué à)	Vie de Macaire 					Éd. AMS V, p. 177-262 (d'après Add. 14656 et 14732) ; BHO 574 , SS 279	236, 2 (version abrégée ?) ; 234, B, 2. ; (Damas)
	Serge Pierre	Actes du synode du mont Liban (1596 AD)						229
	Sergius de Reš'ayna	Commentaire sur les Catégories d'Aristote adressé à Théodore					Ce commentaire contient un prologue et sept livres. Inédit. Trad. italienne des livres II-VII (mais incomplets) : FURLANI, Rivista trimestrale 3, 1922, p. 135-172 ; trad. française du prologue et du livre I d'après ce manuscrit : HUGONNARD-ROCHE 2004, p. 165-186 et 187-202 (avec commentaire p. 203-231).	Paris BnF syr. 354
	Sergius de Reš'ayna	Introduction					Baumstark, §. 26c, p. 168.	Paris BnF syr. 378, UC F
Litur. 	Sévère d'Antioche	Anaphore		Anaphora			CPG 7073	70, 5 (partie : signature du calice) 
	Sévère d'Antioche	Hymnes					Éd. / Trad. BROOKS, PO 6, 1911, p. 1-179 et PO 7, 1911, p. 593-802 ; CPG 7072.	Paris BnF syr. 337
	Sévère d'Antioche	Lettre sur l'exil 					CPG 7070/11 ; cf. VÖÖBUS, "Découverte", 1975, p. 295-98. 	Damas 12/18
Canon. 	Sévère d'Antioche	Lettres		Epistolarium fragmenta			CPG 7070/71 , trad. de la lettre à Césaria : NAU, ROC 14, 1909, p. 120.	62, 42. Identifiés les numéros 11, 7, 63, 61 ; Firenze BML Or. 030 I
	Sévère d'Antioche	Livre contre l'impie Grammaticus		Liber contra impium Grammaticum			Éd. / Trad. LEBON, 1938 ; BAUMSTARK §.  25a, p. 160	Paris BnF syr. 389 (I) ; Paris BnF syr. 390 (D)
	Sévère d'Antioche	Memra sur Saint Léonce						176, 3 (c'est sa 27ème homélie): vérifier PO 37
Litur.	Sévère d'Antioche	Rite du baptême 		Ordo baptismi			CPG 7076 	103, 1 et 2, c'est le rite long  
Litur. 	Sévère d'Antioche	Rite du baptême abrégé		Ordo breuis baptismi			CPG 7077	104, 3
	Sévère Sébokt	Apologie de l'astronomie syriaque						Paris BnF syr. 346
	Sévère Sébokt	Explication de quelques termes du Peri hermeneias d'Aristote						Paris BnF syr. 346
	Sévère Sébokt	Traité d'astronomie en réponse à Basile de Chypre						Paris BnF syr. 346
	Sévère Sébokt	Traité sur l'astrolabe					Éd. / Trad. NAU, JA 13, 1899, p. 56-101 et 238-303.	Paris BnF syr. 346
	Sévère Sébokt	Traité sur les constellations					Éd. / Trad. NAU, ROC 27 (1929-1930), p. 327-410 ; 28 (1931-1932), p. 85-100.	Paris BnF syr. 346
	Sévère Sébokt	Traité sur les éclipses						Paris BnF syr. 346
Asc. / Théol. 	Sim'an ibn Khalil ibn Maqara 	Le jardin du reclus et consolation du solitaire 	Résumé de théologie ascétique 				Pour le garshuni : GCAL II, 336-337	232, 2
	Siméon de Bet Aršam	Deuxième lettre sur les martyrs de Najran 					Éd. / Trad. SHAHID, The Martyrs of Najran, 1971 d'après ms. Damas 12/18	Damas 12/18
	Siméon de Bet Aršam	Première lettre sur les martyrs de Najran 					Éd. AMS, 1890, vol. 1, p. 372-397 ; trad. JEFFERY, "Christianity in South Arabia", 1946, p. 204-216 [+ F. BRIQUEL-CHATONNET prépare une traduction française de ce texte et A. Binggeli a travaillé là-dessus] ; BHO 104 ; sur la transmission manuscrite de cette lettre, voir BRIQUEL-CHATONNET dans Juifs et chrétiens en Arabie, 2010, p. 128-132 ; SS 324. 	234, 29 (seconde partie)
	Siméon le Potier	Dix hymnes sur la Nativité						Strasbourg syr. 4130
Hagio. 	Sophrone de Jérusalem	Histoire de Marie l'Égyptienne 		Vita Mariae Aegyptiacae	ܡܪܝܐ ܐܓܝܦܛܝܬܐ		Éd. AMS V, p. 342-385 (à partir du Paris BnF syr. 234 et du BL Add. 14649) ; BHO 684 ; CPG 7675	234, 6 ; Damas 12/18
	Šubḥalmaran	Livre des dons	Livre des sections					Paris BnF ar. 6725, II
	Symmaque	Histoire d'Abel 					Éd. / Trad. BROCK, "A Syriac Life of Abel", 1974, p. 467-492, d'après ce manuscrit ; CAVT 46.	Damas 12/18
	Théodore bar Koni	Livre des scolies					Éd. SCHER, A, Theodorus bar Koni. Trad. DRAGUET, R., HESPEL, R., Théodore Bar Koni. 	Paris syr. 366 ; 408-409 ; 412 ; 430; 435 ; Strasbourg syr. 4140
Litur.	Théodore bar Wahbun 	Anaphore 						72, 7 ; 76, 11
Litur.	Théodore de Mopsueste	Anaphore 	Liturgie de Théodore de Mopsueste 					Paris BnF syr. 84, 6 ; 310.
Comm.	Théodore de Mopsueste	Commentaire sur l'évangile de Jean 					Éd. /Trad. Vosté, 1940	Paris BnF syr. 308
	Théodoret de Cyr	Histoire de Jacques de Nisibe					Traduction du premier chapitre de l'Histoire des moines de Syrie de Théodoret de Cyr. Éd. AMS IV, p. 262-273 (d'après Paris BnF syr. 234 et BL Add. 12174) ; BHO 405-406 ; SS 220. 	234, 19 ; Damas
Hagio.	Théodoret de Cyr	Histoire de Julien Saba					SS 265 ; BHO 553 ; AMS VI, p. 380-404	235, 6 ; Damas 
Canon. 	Théodose d'Alexandrie	Lettre canonique		Epistula canonica			Trad. NAU, ROC 14, 1909, p. 120-23 ; CPG 7138	62, 43
Litt. / Phil. 	Théodose d'Antioche	Lettre à Georges (ou Grégoire?) sur les symboles de Pythagore 						197, 16 ; 215, 4 ; 300 
Hagio. 	Théopiste, disciple de Dioscore d'Alexandrie (Attribué à)	Histoire de Dioscore d'Alexandrie 			ܕܝܘܣܩܘܪܘܣ ܕܐܠܟܣܢܕܪܝܐ		BHO 257-258 ; SS 128 ; CPG 5470 ; éd. F. Nau, "Histoire de Dioscore, patriarche d'Alexandrie, écrite par  son disciple Théopiste", Journal Asiatique 10/1 (1903), p. 1-108  (texte), 240-310 (trad.) (éd. et trad. du Paris syr. 234)	234, 4 ; 384
	Théophile	Doctrine			ܬܘܼܠܡ݃ܕܐ			Firenze BML Or. 047
Hagio.	Thomaïs de Nisibe (Attribué à)	Martyre de Fébronie  					Éd. AMS, 1895, vol. 5, p. 573-616 ; BHO 302 ; SS 160.	Damas 12/18 ; Vat. sir. 161
	Thomas	Autre discours				ܠܐ ܡܫܟܚ ܒܪܢܫܐ ܕܒܥܢܝܢܐ ܕܐܠܗܐ ܢܗܘܐ ܘܕܒܢܝܢܫܐ̈		195
	Thomas 	Discours 				ܣܗܕ ܗܘ ܠܝ ܐܠܗܐ ܕܐܠܘ ܩܝܡܝܢ ܗܘܘ ܟܠܗܘܢ ܝܠܕ̈ܘܗܝ ܕܐܕܡ		195, 9 
Asc. / Théol. / Mod. 	Thomas a Kempis 	L'imitation de Jésus-Christ 		De imitatione Christi 				188, 1/c (extraits) ; 220 (entier, en syriaque, traduit de l'arabe) 
Litur.	Thomas de Ḥarqel	Liturgie						76, 4
Litur. 	Thomas de Ḥarqel	Récit synoptique de la Passion selon la version héracléenne 						31 + 38 + 364 
Canon. 	Thomas de Kfartab	Canons 						225, 2
Théol. 	Thomas de Kfartab	Traité sur le monothélisme 						203, 4 (karchouni)
Gramm. 	Thomas le diacre	Traité sur les points 					Éd. / Trad. PHILIPPS 1869, p. 66-83.	64, 3
Canon.	Timothée d'Alexandrie 	Réponses canoniques 		Responsa canonica 			Trad. NAU, ROC 14, 1909, p. 35-37 ; CPG 2520	62, 18 ; 224, 3 
Hom. 	Timothée de Birtha (attribuée à)	Memra sur la mort de la Vierge 					CANT 126 ; BHO 679	177, 4/g
Litur. 	Xyste de Rome	Anaphore 						72, 4 et 73, 3 
Litt. / Théol. 	Xyste de Rome (Attribué à)	Sentences 		Sexti sententiae 			CPG 1115	201, 4
	Ya'qub	Memra sur le schisme						Paris BnF syr. 419
Sces	Yuḥanna ibn Masawayh	Livre des temps					Éd. / Trad. SBATH, Bulletin de l'Institut d'Égypte 15, 1923/33, p. 235-257.	65, 7
	Yussif Abu al-Karam	Mimruna sur la grammaire						403
	Zacharie le Scholastique	Histoire d'Isaïe l'égyptien 					Éd. / Trad. BROOKS, Vitae virorum, 1907, p. 3-16 (texte) et p. 3-10 (trad. latine) (d'après BL 12174 et Sachau 321) ; BHO 550 ; SS 206 ; CPG 7000. 	Damas ; Add. 12174
		 Histoire de Samuel de Qartmin				ܟܬܝܒ ܘܐܡܝܪ ܗܘ ܕܒܫܢܬ ܬܡܢܝ ܡܐ̈ܐ ܘܫܒ̈ܥ ܕܝܘ̈ܢܝܐ : ܣܠܩ ܟܣܪܘܢ ܡܠܟܐ ܦܪܣܝܐ : ܘܫܪܐ ܥܠ ܕܪܐ ܡܕܝܢܬܐ	BHO 1037-1038 ; SS 382 ; Nau, "Notice historique", 1905, p. 1-75.	Paris BnF syr. 375, 1 ; 379 (en arabe) ; 417
AT		1 Chroniques						
NT		1 Corinthiens						
NT		1 Jean						
AT		1 Maccabées						
NT		1 Pierre 						
AT		1 Rois	3 Règnes					
AT		1 Samuel	1 Règnes					
NT		1 Thessaloniciens						
NT		1 Timothée						
AT		2 Chroniques						
NT		2 Corinthiens						
NT		2 Jean						
AT		2 Maccabées						
NT		2 Pierre						
AT		2 Rois	4 Règnes					
AT		2 Samuel	2 Règnes					
NT		2 Thessaloniciens						
NT		2 Timothée						
AT		3 Esdras						
NT		3 Jean						
AT		3 Maccabées						
AT		4 Maccabées						
Apoc.		5 Maccabées					CAVT 200	11 (Josippon)
AT		Abdias						
